,dti,emp_length,issue_d,loan_amnt,purpose,rejected
0,4.21,5,7/1/2016,4000,major_purchase,1
1,0.39,0,7/1/2016,20000,debt_consolidation,1
2,42.38,5,7/1/2016,1000,renewable_energy,1
3,5.98,5,7/1/2016,15000,home_improvement,0
4,29.14,0,7/1/2016,8500,debt_consolidation,1
5,26.12,,7/1/2016,5000,Debt consolidation,1
6,32.43,5,7/1/2016,20000,debt_consolidation,1
7,20.8,5,7/1/2016,5000,debt_consolidation,1
8,21.39,0,7/1/2016,25000,car,1
9,17.93,5,7/1/2016,1500,other,0
10,8.75,0,7/1/2016,2000,major_purchase,1
11,7.15,0,7/1/2016,7000,credit_card,1
13,2.18,5,7/1/2016,1000,debt_consolidation,0
14,0,,7/1/2016,15000,debt_consolidation,1
15,25.1,0,7/1/2016,40000,small_business,1
16,1.96,0,7/1/2016,10000,debt_consolidation,0
17,2.64,0,7/1/2016,10000,debt_consolidation,1
18,5.23,0,7/1/2016,1000,medical,1
19,63.13,0,7/1/2016,25000,debt_consolidation,0
20,40.65,0,7/1/2016,35000,debt_consolidation,1
22,0,5,7/1/2016,2000,car,1
23,29.76,0,7/1/2016,30000,moving,1
24,17.02,0,7/1/2016,6000,debt_consolidation,1
25,35.91,0,7/1/2016,15000,debt_consolidation,1
27,0,0,7/1/2016,10000,other,0
28,16.97,0,7/1/2016,17000,debt_consolidation,1
29,8.79,5,7/1/2016,16000,debt_consolidation,1
30,38.2,5,7/1/2016,20000,credit_card,0
31,34.19,0,7/1/2016,2000,credit_card,1
32,43.12,0,7/1/2016,27000,debt_consolidation,1
33,9.84,5,7/1/2016,5000,credit_card,0
34,0,0,7/1/2016,5000,other,0
35,17.58,0,7/1/2016,3000,medical,1
36,16.48,0,7/1/2016,8000,debt_consolidation,1
37,0.57,0,7/1/2016,3000,moving,1
38,34.79,0,7/1/2016,15000,debt_consolidation,0
39,108.7,0,7/1/2016,10000,medical,1
40,16.17,0,7/1/2016,8000,house,1
41,53.41,0,7/1/2016,10000,debt_consolidation,1
42,2,5,7/1/2016,5500,car,1
43,0,0,7/1/2016,3000,debt_consolidation,1
44,27.91,0,7/1/2016,3000,home_improvement,1
45,10.23,0,7/1/2016,2500,other,1
46,2.58,0,7/1/2016,2000,home_improvement,1
47,27.57,0,7/1/2016,25000,credit_card,0
48,2.43,5,7/1/2016,5000,debt_consolidation,1
49,22.1,0,7/1/2016,5000,debt_consolidation,1
50,22.95,5,7/1/2016,3000,other,1
52,0.46,0,7/1/2016,7000,debt_consolidation,1
53,0.02,0,7/1/2016,4000,car,1
55,4.56,0,7/1/2016,5000,credit_card,1
56,20.12,0,7/1/2016,3000,other,1
57,27.1,0,7/1/2016,25000,debt_consolidation,1
58,28.27,0,7/1/2016,2000,debt_consolidation,1
60,46.95,0,7/1/2016,5000,debt_consolidation,1
61,197.14,0,7/1/2016,40000,credit_card,0
62,24,0,7/1/2016,7000,debt_consolidation,1
